URL,Time Elapsed
https://analytics.alleghenycounty.us/,0.28
https://analytics.alleghenycounty.us/,0.25
https://analytics.alleghenycounty.us/topics/children-youth-and-families/,0.26
https://analytics.alleghenycounty.us/topics/community-and-economic-stability/,0.25
https://analytics.alleghenycounty.us/topics/crime-and-justice/,0.23
https://analytics.alleghenycounty.us/topics/data-driven-models/,0.23
https://analytics.alleghenycounty.us/topics/education-and-early-childhood/,0.21
https://analytics.alleghenycounty.us/topics/housing-and-basic-needs/,0.23
https://analytics.alleghenycounty.us/topics/innovation-and-reform/,0.26
https://analytics.alleghenycounty.us/topics/older-adults/,0.24
https://analytics.alleghenycounty.us/topics/substance-use-and-mental-health/,0.26
https://analytics.alleghenycounty.us/work/,0.23
https://analytics.alleghenycounty.us/content-types/dashboards/,0.24
https://analytics.alleghenycounty.us/content-types/datasets/,0.36
https://analytics.alleghenycounty.us/content-types/infographics/,0.23
https://analytics.alleghenycounty.us/content-types/reports/,0.21
https://analytics.alleghenycounty.us/quickcount-data-tool/,0.21
https://analytics.alleghenycounty.us/human-services-community-profile-2/,0.24
https://analytics.alleghenycounty.us/provider-tools/,0.36
https://analytics.alleghenycounty.us/requesting-data/,0.27
https://analytics.alleghenycounty.us/research-working-papers/,0.23
https://analytics.alleghenycounty.us/about/,0.26
https://analytics.alleghenycounty.us/contact-us/,0.37
https://analytics.alleghenycounty.us/faq-about-data-sources/,0.23
https://analytics.alleghenycounty.us/faq-about-data-sources,0.24
https://www.alleghenycounty.us/Services/Human-Services-DHS/Contact-DHS/DHS-Updates,0.21
https://analytics.alleghenycounty.us/2026/09/08/allegheny-recovery-partnership-plan/,0.23
https://analytics.alleghenycounty.us/content-types/reports/ ,2.58
https://analytics.alleghenycounty.us/tag/addiction/ ,2.64
https://analytics.alleghenycounty.us/tag/aor/ ,5.14
https://analytics.alleghenycounty.us/tag/assertive-outreach-and-retention/ ,3.48
https://analytics.alleghenycounty.us/tag/behavioral-health/ ,2.63
https://analytics.alleghenycounty.us/tag/medicaid/ ,2.76
https://analytics.alleghenycounty.us/tag/substance-use-disorder/ ,2.66
https://analytics.alleghenycounty.us/tag/sud/ ,2.7
https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/,0.25
https://analytics.alleghenycounty.us/work,0.23
https://analytics.alleghenycounty.us/2026/08/24/behavioral-health-metrics/,0.23
https://analytics.alleghenycounty.us/tag/behavioral-healthchoices/ ,2.93
https://analytics.alleghenycounty.us/tag/community-care-behavioral-health/ ,2.79
https://analytics.alleghenycounty.us/tag/managed-care/ ,2.74
https://analytics.alleghenycounty.us/2026/08/21/allegheny-county-continuum-of-care/,0.25
https://analytics.alleghenycounty.us/tag/continuum-of-care/ ,3.3
https://analytics.alleghenycounty.us/tag/coordinated-entry/ ,2.96
https://analytics.alleghenycounty.us/tag/homeless-advisory-board-2/ ,3.17
https://analytics.alleghenycounty.us/tag/homeless-services/ ,3.33
https://analytics.alleghenycounty.us/tag/housing/ ,3.59
https://alleghenycounty.us/Human-Services/About/Contact/Emergency-Contacts.aspx,0.46
https://www.alleghenycounty.us/human-services/index.aspx,0.24
https://visitor.r20.constantcontact.com/manage/optin?v=0016KFeTZqQ2HAKJNYu_Y_LpMGhpBkJu_HAudBnyU67Ewxx-EdLJxn3PfO9Iy-4z3GXHpuw5LmG-dlvJinCX6Ggx0i5XCP3uquiZpsT5JQOgJU%3D,0.52
